Ticker,Price,Date,Div Yield,EPS,Total Assets,"Goodwill, Net","Intangibles, Net",Liabilities (Total),Shares (Total Common Outstanding),Book Value,P:Book,Tangable Book Value,P:Tangbook,Dividend Percent,20x EPS,15X EPS,Price/Earnings,Interest
AGNC,10.40,10/14/24,$1.44 ,$0.0500 ,"$71,596 ",$526 ,$0 ,"$63,339 ", 694.00 ,$11.8977 ,87.41%,$11.14,93.36%,13.85%,$1.00 ,$0.75 ,208.00 ,
BTU,36.00,10/22/24,$0.30 ,$3.7800 ,"$5,962 ",$0 ,$0 ,"$2,415 ", 129.00 ,$27.4961 ,130.93%,$27.50,130.93%,0.83%,$75.60 ,$56.70 ,9.52 ,
CVS,73.97,10/21/24,$2.66 ,$5.6200 ,"$249,728 ","$91,272 ","$29,234 ","$173,267 "," 1,288.00 ",$59.3641 ,124.60%,-$34.20,-216.31%,3.60%,$112.40 ,$84.30 ,13.16 ,
NWL,3.79,10/14/24,$0.28 ,$0.1700 ,"$12,163 ","$3,071 ","$2,488 ","$9,051 ", 414.00 ,$7.5169 ,50.42%,-$5.91,-64.12%,7.39%,$3.40 ,$2.55 ,22.29 ,
GM,73.90,10/14/24,$0.48 ,$8.1300 ,"$273,064 ","$1,921 ","$6,010 ","$208,778 "," 1,200.00 ",$53.5717 ,137.95%,$46.96,157.36%,0.65%,$162.60 ,$121.95 ,9.09 ,WATCH
COF,183.29,10/21/24,$2.40 ,$10.6300 ,"$478,464 ","$15,065 ",$700 ,"$420,375 ", 380.00 ,$152.8658 ,119.90%,$111.38,164.56%,1.31%,$212.60 ,$159.45 ,17.24 ,WATCH
CALM,84.34,12/23/24,$2.90 ,$5.6300 ,"$2,185 ",$46 ,$37 ,$385 , 49.00 ,$36.7347 ,229.59%,$35.04,240.69%,3.44%,$112.60 ,$84.45 ,14.98 ,
M,17.62,10/21/24,$0.69 ,$0.6500 ,"$16,246 ",$828 ,"$1,187 ","$12,109 ", 274.00 ,$15.0985 ,116.70%,$7.74,227.52%,3.94%,$13.00 ,$9.75 ,27.11 ,
F,11.92,10/21/24,$0.60 ,$0.9500 ,"$273,310 ",$683 ,$80 ,"$230,537 "," 4,157.00 ",$10.2894 ,115.85%,$10.11,117.95%,5.03%,$19.00 ,$14.25 ,12.55 ,WATCH
BAC,47.35,10/14/24,$1.04 ,$3.3800 ,"$3,180,151 ","$69,021 ","$2,000 ","$2,888,505 "," 7,895.00 ",$36.9406 ,128.18%,$27.94,169.44%,2.20%,$67.60 ,$50.70 ,14.01 ,WATCH
AIG,76.05,10/14/24,$1.60 ,$5.3300 ,"$539,306 ",$0 ,$0 ,"$493,955 ", 689.00 ,$65.8215 ,115.54%,$65.82,115.54%,2.10%,$106.60 ,$79.95 ,14.27 ,WATCH
